lang,air,tn,fp,fn,tp,t_val,p_val,book,transformer
Amis,0.5178841309823677,0.5178841309823677,1.9264278799612777,0.8113207547169812,1.0001837475308926,17.394,1.022902420044576e-67,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Saisiyat,0.006549118387909321,0.00654911838790932,2.9090029041626333,0.7641509433962265,1.0002296844136156,43.11,0.0,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Icelandic,0.9743073047858941,0.9743073047858942,1.0493707647628268,0.9150943396226415,1.0000826863889016,0.943,0.3455500485715908,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Finnish,0.8090680100755667,0.8090680100755667,1.366892545982575,0.9150943396226415,1.0000826863889016,6.354,2.1052139457253123e-10,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Greek,0.8544080604534005,0.8544080604534005,1.2797676669893514,0.8207547169811321,1.000174560154348,4.992,5.977394421919153e-07,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Hebrew,0.6826196473551638,0.6826196473551638,1.6098741529525653,0.8773584905660378,1.0001194358950802,10.898,1.1990725609569272e-27,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Chinese,0.6508816120906801,0.6508816120906801,1.6708615682478218,0.8584905660377359,1.0001378106481693,12.11,9.558160019159985e-34,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Korean,0.46599496221662473,0.4659949622166247,2.026137463697967,0.7830188679245284,1.0002113096605265,19.607,1.6175402926266787e-85,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
