lang,air,tn,fp,fn,tp,t_val,p_val,book,transformer
Amis,0.5378238341968913,0.5378238341968912,1.8198529411764706,0.8584905660377359,1.0001378106481693,16.247,2.565083127847656e-59,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Saisiyat,0.006735751295336789,0.006735751295336788,2.7619485294117645,0.7264150943396226,1.0002664339197942,42.578,0.0,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Icelandic,1.0652849740932644,1.0652849740932642,0.8841911764705882,0.9433962264150944,1.0000551242592677,-1.871,0.06134537882751954,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Finnish,0.844041450777202,0.844041450777202,1.2766544117647058,0.9056603773584906,1.0000918737654463,5.115,3.146980649500551e-07,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Greek,0.911917098445596,0.9119170984455959,1.15625,0.8584905660377359,1.0001378106481693,2.993,0.002758639885640285,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Hebrew,0.638860103626943,0.638860103626943,1.640625,0.8584905660377359,1.0001378106481693,12.381,3.4242957793493514e-35,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Chinese,0.6176165803108808,0.6176165803108808,1.6783088235294117,0.8207547169811321,1.000174560154348,13.251,4.595178241840639e-40,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
Korean,0.5943005181347151,0.5943005181347151,1.7196691176470589,0.8207547169811321,1.000174560154348,14.135,2.4345948349778488e-45,Adventures_of_Huckleberry_Finn,Davlanxlmrobertabasenerhrl
